Training: 2021-10-31 15:11:09,320-Speed 719.81 samples/sec   Loss 24.4233 Margin 0.0000 Center 0.1114 Epoch: 0   Global Step: 3950   Required: 58 hours
Training: 2021-10-31 15:11:44,925-Speed 719.01 samples/sec   Loss 24.5104 Margin 0.0000 Center 0.1086 Epoch: 0   Global Step: 4000   Required: 58 hours
Training: 2021-10-31 15:12:20,465-Speed 720.33 samples/sec   Loss 23.9966 Margin 0.0000 Center 0.0939 Epoch: 0   Global Step: 4050   Required: 58 hours
Training: 2021-10-31 15:12:55,982-Speed 720.78 samples/sec   Loss 23.8884 Margin 0.0000 Center 0.0943 Epoch: 0   Global Step: 4100   Required: 58 hours
Training: 2021-10-31 15:13:31,598-Speed 718.79 samples/sec   Loss 23.5989 Margin 0.0000 Center 0.1080 Epoch: 0   Global Step: 4150   Required: 58 hours
Training: 2021-10-31 15:14:07,463-Speed 713.79 samples/sec   Loss 23.8351 Margin 0.0000 Center 0.1289 Epoch: 0   Global Step: 4200   Required: 58 hours
Training: 2021-10-31 15:14:43,189-Speed 716.59 samples/sec   Loss 23.1194 Margin 0.0000 Center 0.1096 Epoch: 0   Global Step: 4250   Required: 58 hours
Training: 2021-10-31 15:15:18,801-Speed 718.85 samples/sec   Loss 22.8281 Margin 0.0000 Center 0.1156 Epoch: 0   Global Step: 4300   Required: 58 hours
Training: 2021-10-31 15:15:54,383-Speed 719.48 samples/sec   Loss 22.7439 Margin 0.0000 Center 0.0968 Epoch: 0   Global Step: 4350   Required: 58 hours
Training: 2021-10-31 15:16:29,930-Speed 720.19 samples/sec   Loss 22.3224 Margin 0.0000 Center 0.1059 Epoch: 0   Global Step: 4400   Required: 58 hours
Training: 2021-10-31 15:17:05,503-Speed 719.65 samples/sec   Loss 22.2442 Margin 0.0000 Center 0.0959 Epoch: 0   Global Step: 4450   Required: 58 hours
Training: 2021-10-31 15:17:41,116-Speed 718.85 samples/sec   Loss 22.2057 Margin 0.0000 Center 0.0959 Epoch: 0   Global Step: 4500   Required: 58 hours
Training: 2021-10-31 15:18:16,712-Speed 719.19 samples/sec   Loss 22.3457 Margin 0.0000 Center 0.1197 Epoch: 0   Global Step: 4550   Required: 58 hours
Training: 2021-10-31 15:18:52,420-Speed 716.93 samples/sec   Loss 21.8166 Margin 0.0000 Center 0.0962 Epoch: 0   Global Step: 4600   Required: 58 hours
Training: 2021-10-31 15:19:27,977-Speed 719.97 samples/sec   Loss 21.5187 Margin 0.0000 Center 0.0976 Epoch: 0   Global Step: 4650   Required: 58 hours
Training: 2021-10-31 15:20:03,558-Speed 719.50 samples/sec   Loss 21.4270 Margin 0.0000 Center 0.1079 Epoch: 0   Global Step: 4700   Required: 58 hours
Training: 2021-10-31 15:20:39,171-Speed 718.85 samples/sec   Loss 21.3019 Margin 0.0000 Center 0.1136 Epoch: 0   Global Step: 4750   Required: 58 hours
Training: 2021-10-31 15:21:14,772-Speed 719.08 samples/sec   Loss 21.3720 Margin 0.0000 Center 0.1402 Epoch: 0   Global Step: 4800   Required: 58 hours
Training: 2021-10-31 15:21:50,371-Speed 719.14 samples/sec   Loss 21.2577 Margin 0.0000 Center 0.1023 Epoch: 0   Global Step: 4850   Required: 58 hours
Training: 2021-10-31 15:22:25,990-Speed 718.72 samples/sec   Loss 21.1069 Margin 0.0000 Center 0.1098 Epoch: 0   Global Step: 4900   Required: 58 hours
Training: 2021-10-31 15:23:01,620-Speed 718.51 samples/sec   Loss 20.8264 Margin 0.0000 Center 0.0831 Epoch: 0   Global Step: 4950   Required: 58 hours
Training: 2021-10-31 15:23:37,284-Speed 717.83 samples/sec   Loss 20.6711 Margin 0.0000 Center 0.1038 Epoch: 0   Global Step: 5000   Required: 58 hours
Training: 2021-10-31 15:24:12,894-Speed 718.89 samples/sec   Loss 20.8956 Margin 0.0000 Center 0.0879 Epoch: 0   Global Step: 5050   Required: 58 hours
Training: 2021-10-31 15:24:48,684-Speed 715.30 samples/sec   Loss 20.5316 Margin 0.0000 Center 0.1241 Epoch: 0   Global Step: 5100   Required: 58 hours
Training: 2021-10-31 15:25:24,339-Speed 718.02 samples/sec   Loss 20.4466 Margin 0.0000 Center 0.0758 Epoch: 0   Global Step: 5150   Required: 58 hours
Training: 2021-10-31 15:25:59,990-Speed 718.07 samples/sec   Loss 20.1224 Margin 0.0000 Center 0.1040 Epoch: 0   Global Step: 5200   Required: 58 hours
Training: 2021-10-31 15:26:35,765-Speed 715.60 samples/sec   Loss 20.1347 Margin 0.0000 Center 0.0918 Epoch: 0   Global Step: 5250   Required: 58 hours
Training: 2021-10-31 15:27:11,660-Speed 713.19 samples/sec   Loss 20.0036 Margin 0.0000 Center 0.0908 Epoch: 0   Global Step: 5300   Required: 58 hours
Training: 2021-10-31 15:27:47,258-Speed 719.15 samples/sec   Loss 20.0028 Margin 0.0000 Center 0.0655 Epoch: 0   Global Step: 5350   Required: 58 hours
Training: 2021-10-31 15:28:22,930-Speed 717.66 samples/sec   Loss 20.1087 Margin 0.0000 Center 0.0828 Epoch: 0   Global Step: 5400   Required: 58 hours
Training: 2021-10-31 15:28:58,563-Speed 718.46 samples/sec   Loss 19.8746 Margin 0.0000 Center 0.1038 Epoch: 0   Global Step: 5450   Required: 58 hours
Training: 2021-10-31 15:29:34,176-Speed 718.84 samples/sec   Loss 20.0078 Margin 0.0000 Center 0.0870 Epoch: 0   Global Step: 5500   Required: 58 hours
Training: 2021-10-31 15:30:09,829-Speed 718.05 samples/sec   Loss 19.7084 Margin 0.0000 Center 0.1063 Epoch: 0   Global Step: 5550   Required: 57 hours
Training: 2021-10-31 15:30:45,464-Speed 718.38 samples/sec   Loss 19.7693 Margin 0.0000 Center 0.1368 Epoch: 0   Global Step: 5600   Required: 57 hours
Training: 2021-10-31 15:31:21,106-Speed 718.26 samples/sec   Loss 19.7108 Margin 0.0000 Center 0.1045 Epoch: 0   Global Step: 5650   Required: 57 hours
Training: 2021-10-31 15:32:46,981-[lfw][5686]XNorm: 4.427875
Training: 2021-10-31 15:32:46,982-[lfw][5686]Accuracy-Flip: 0.98800+-0.00287
Training: 2021-10-31 15:32:46,982-[lfw][5686]Accuracy-Highest: 0.98800
Training: 2021-10-31 15:33:57,680-[cfp_fp][5686]XNorm: 3.841086
Training: 2021-10-31 15:33:57,681-[cfp_fp][5686]Accuracy-Flip: 0.85757+-0.01955
Training: 2021-10-31 15:33:57,681-[cfp_fp][5686]Accuracy-Highest: 0.85757
Training: 2021-10-31 15:35:08,419-[cfp_ff][5686]XNorm: 4.369461
Training: 2021-10-31 15:35:08,419-[cfp_ff][5686]Accuracy-Flip: 0.98614+-0.00550
Training: 2021-10-31 15:35:08,419-[cfp_ff][5686]Accuracy-Highest: 0.98614
Training: 2021-10-31 15:36:08,767-[agedb_30][5686]XNorm: 4.309935
Training: 2021-10-31 15:36:08,767-[agedb_30][5686]Accuracy-Flip: 0.91800+-0.01802
Training: 2021-10-31 15:36:08,767-[agedb_30][5686]Accuracy-Highest: 0.91800
Training: 2021-10-31 15:37:09,397-[calfw][5686]XNorm: 4.419687
Training: 2021-10-31 15:37:09,398-[calfw][5686]Accuracy-Flip: 0.92500+-0.01181
Training: 2021-10-31 15:37:09,398-[calfw][5686]Accuracy-Highest: 0.92500
Training: 2021-10-31 15:38:09,793-[cplfw][5686]XNorm: 3.767031
Training: 2021-10-31 15:38:09,793-[cplfw][5686]Accuracy-Flip: 0.82083+-0.02629
Training: 2021-10-31 15:38:09,793-[cplfw][5686]Accuracy-Highest: 0.82083
Training: 2021-10-31 15:38:19,607-Speed 61.17 samples/sec   Loss 19.7923 Margin 0.0000 Center 0.1340 Epoch: 0   Global Step: 5700   Required: 63 hours
Training: 2021-10-31 15:38:55,828-Speed 706.78 samples/sec   Loss 19.5449 Margin 0.0000 Center 0.1140 Epoch: 0   Global Step: 5750   Required: 63 hours
Training: 2021-10-31 15:39:31,968-Speed 708.37 samples/sec   Loss 19.4611 Margin 0.0000 Center 0.1025 Epoch: 0   Global Step: 5800   Required: 63 hours
Training: 2021-10-31 15:40:07,926-Speed 711.94 samples/sec   Loss 19.4814 Margin 0.0000 Center 0.0871 Epoch: 0   Global Step: 5850   Required: 63 hours
Training: 2021-10-31 15:40:43,908-Speed 711.48 samples/sec   Loss 19.5446 Margin 0.0000 Center 0.1310 Epoch: 0   Global Step: 5900   Required: 63 hours
Training: 2021-10-31 15:41:19,866-Speed 711.95 samples/sec   Loss 19.1145 Margin 0.0000 Center 0.0706 Epoch: 0   Global Step: 5950   Required: 63 hours
Training: 2021-10-31 15:41:55,700-Speed 714.40 samples/sec   Loss 19.1428 Margin 0.0000 Center 0.0970 Epoch: 0   Global Step: 6000   Required: 63 hours
Training: 2021-10-31 15:42:31,475-Speed 715.59 samples/sec   Loss 19.2841 Margin 0.0000 Center 0.1096 Epoch: 0   Global Step: 6050   Required: 63 hours
Training: 2021-10-31 15:43:07,220-Speed 716.19 samples/sec   Loss 19.2974 Margin 0.0000 Center 0.0944 Epoch: 0   Global Step: 6100   Required: 62 hours
Training: 2021-10-31 15:43:42,925-Speed 716.99 samples/sec   Loss 18.8669 Margin 0.0000 Center 0.0773 Epoch: 0   Global Step: 6150   Required: 62 hours
Training: 2021-10-31 15:44:18,625-Speed 717.11 samples/sec   Loss 18.9708 Margin 0.0000 Center 0.0997 Epoch: 0   Global Step: 6200   Required: 62 hours
Training: 2021-10-31 15:44:54,292-Speed 717.75 samples/sec   Loss 19.1190 Margin 0.0000 Center 0.0956 Epoch: 0   Global Step: 6250   Required: 62 hours
Training: 2021-10-31 15:45:30,111-Speed 714.71 samples/sec   Loss 18.8103 Margin 0.0000 Center 0.0866 Epoch: 0   Global Step: 6300   Required: 62 hours
Training: 2021-10-31 15:46:05,866-Speed 715.99 samples/sec   Loss 18.8440 Margin 0.0000 Center 0.0911 Epoch: 0   Global Step: 6350   Required: 62 hours
Training: 2021-10-31 15:46:41,773-Speed 712.97 samples/sec   Loss 18.5648 Margin 0.0000 Center 0.0923 Epoch: 0   Global Step: 6400   Required: 62 hours
Training: 2021-10-31 15:47:17,427-Speed 718.01 samples/sec   Loss 18.8351 Margin 0.0000 Center 0.1079 Epoch: 0   Global Step: 6450   Required: 62 hours
Training: 2021-10-31 15:47:53,076-Speed 718.13 samples/sec   Loss 18.7780 Margin 0.0000 Center 0.0991 Epoch: 0   Global Step: 6500   Required: 62 hours
Training: 2021-10-31 15:48:28,701-Speed 718.61 samples/sec   Loss 18.3754 Margin 0.0000 Center 0.0961 Epoch: 0   Global Step: 6550   Required: 62 hours
Training: 2021-10-31 15:49:04,339-Speed 718.34 samples/sec   Loss 18.6914 Margin 0.0000 Center 0.0959 Epoch: 0   Global Step: 6600   Required: 62 hours
Training: 2021-10-31 15:49:39,990-Speed 718.09 samples/sec   Loss 18.3375 Margin 0.0000 Center 0.0879 Epoch: 0   Global Step: 6650   Required: 62 hours
Training: 2021-10-31 15:50:15,654-Speed 717.82 samples/sec   Loss 18.4475 Margin 0.0000 Center 0.1008 Epoch: 0   Global Step: 6700   Required: 62 hours
Training: 2021-10-31 15:50:51,257-Speed 719.04 samples/sec   Loss 18.5872 Margin 0.0000 Center 0.1191 Epoch: 0   Global Step: 6750   Required: 62 hours
